Name,EduScore,Hospital
"Sheryl G. Jordan, MD",1,University of North Carolina Hospitals
Ginger T. McCullen,0,University of North Carolina Hospitals
"Sigal Peter-Wohl, MD",0,FirstHealth Moore Regional Hospital
"Eliana M Perrin, MD",1,University of North Carolina Hospitals
"Luis A Diaz, MD",0,University of North Carolina Hospitals
"Woodward Burgert III, MD",0,University of North Carolina Hospitals
"Kim A Boggess, MD",0,University of North Carolina Hospitals
"William C Miller, MD",3,University of North Carolina Hospitals
"Margaret A Kiser, MD",1,Alamance Regional Medical Center
Donna Corinne (Wilson) Smith,0,Chatham Hospital
"Paul Ossman, MD",1,University of North Carolina Hospitals
"Deanna Sasaki-Adams, MD",0,University of North Carolina Hospitals
"William W Shockley, MD",0,University of North Carolina Hospitals
"Elisabeth Dellon, MD",0,University of North Carolina Hospitals
"Nikki Binz (Binz) Waller, MD",1,University of North Carolina Hospitals
"Peter George Chikes, MD",1,Duke University Hospital
"Neptali Ruben Bocanegra, PA",0,University of North Carolina Hospitals
"Andrea Marie Jarchow, MD",0,University of North Carolina Hospitals
"Vijayatha C Gundarapu, MD",0,UNC REX Healthcare
"Katherine Camper Clement, MD",0,University of North Carolina Hospitals
"Randal K Detwiler, MD",1,University of North Carolina Hospitals
"Julie S Byerley, MD",3,University of North Carolina Hospitals
"Ashish Pulikal, MD",0,University of North Carolina Hospitals
"Cherrelle Smith, MD",0,University of North Carolina Hospitals
"Matthew James Bruehl, MD",0,University of North Carolina Hospitals
"Gary Sterling Berger, MD",0,University of North Carolina Hospitals
"Karen K Poulos, MD",1,University of North Carolina Hospitals
Deborah K Mayer,0,University of North Carolina Hospitals
"Benjamin Francis Redmon, MD",0,University of North Carolina Hospitals
"Thomas S Ivester, MD",0,FirstHealth Moore Regional Hospital
"Christopher Sims, MD",3,University of North Carolina Hospitals
"Edwin R Fuller III, MD",0,University of North Carolina Hospitals
"Simon Khagi, MD",0,University of North Carolina Hospitals
"Andrea Trembath, MD",0,University of North Carolina Hospitals
"William Y Kim, MD",0,University of North Carolina Hospitals
"Robert S Wehbie, MD",0,UNC REX Healthcare
"Jaydeep J Lamba, MD",0,University of North Carolina Hospitals
"Ashley Marie Rietz, MD",0,University of North Carolina Hospitals
Sarah Elizabeth Wieber Croop,0,University of North Carolina Hospitals
"Krystal Sully, MD",0,University of North Carolina Hospitals
"Jessica Anne McPherson, MD",2,University of North Carolina Hospitals
"Kelly Smith (Smith) Kimple, MD",1,University of North Carolina Hospitals
"Christina Lorraine Shenvi, MD",3,University of North Carolina Hospitals
"Eric Edwards, MD",2,University of North Carolina Hospitals
"Laura Heyneman, MD",1,Duke University Hospital
"Jared Michael Nathanson, MD",0,University of North Carolina Hospitals
"Lynn Ansley Fordham, MD",0,University of North Carolina Hospitals
"Jennifer O. Howell, MD",0,University of North Carolina Hospitals
Kristi (Page) Hildebrand,0,UNC REX Healthcare
"James J. Hill III, MD",0,University of North Carolina Hospitals
"Robert S Sandler, MD",3,University of North Carolina Hospitals
Timothy J Ives,0,University of North Carolina Hospitals
"Jordan Renner, MD",1,University of North Carolina Hospitals
"Thomas Sporn, MD",0,Duke University Hospital
"David C Mayer, MD",0,University of North Carolina Hospitals
"Gregory Randolph, MD",1,University of North Carolina Hospitals
"Charles Ebert Jr., MD",1,University of North Carolina Hospitals
"Peadar G Noone, MD",0,University of North Carolina Hospitals
"Oluwaseun Adeola Omofoye, MD",1,University of North Carolina Hospitals
"Cory Lyn Annis, MD",0,University of North Carolina Hospitals
"Culley Carson III, MD",2,University of North Carolina Hospitals
"Samip N. Patel, MD",0,University of North Carolina Hospitals
"Gary N Asher, MD",0,University of North Carolina Hospitals
"Bradley N Gaynes, MD",1,University of North Carolina Hospitals
"Donald Lee Rosenstein, MD",2,University of North Carolina Hospitals
"Shannon S Carson, MD",1,University of North Carolina Hospitals
"Harold C Pillsbury, MD",0,University of North Carolina Hospitals
"Glenn Withrow, MD",1,University of North Carolina Hospitals
"Steven N Lichtman, MD",0,University of North Carolina Hospitals
"Nina Jain, MD",0,University of North Carolina Hospitals
"Spencer Dorn, MD",0,University of North Carolina Hospitals
"Jessica Stewart, MD",0,University of North Carolina Hospitals
"Joshua J Alexander, MD",2,University of North Carolina Hospitals
"Richard H Feins, MD",0,University of North Carolina Hospitals
"Teague Horton, MD",0,Wayne Memorial Hospital
"David W Overby, MD",0,University of North Carolina Hospitals
"Allen F. Marshall, MD",1,University of North Carolina Hospitals
"Heidi Swygard, MD",0,University of North Carolina Hospitals
"Kian Eftekhari, MD",3,Salt Lake Regional Medical Center
"Katherine Davis Westreich, MD",1,University of North Carolina Hospitals
"Adam Jordan Kimple, MD",1,University of North Carolina Hospitals
"Kevin Anthony Carneiro, DO",0,University of North Carolina Hospitals
"Paul Molina, MD",1,University of North Carolina Hospitals
"David Van Duin, MD",1,University of North Carolina Hospitals
"Angela Lipscomb-Hudson, MD",0,University of North Carolina Hospitals
"Craig Nathaniel Burkhart, MD",0,Fayetteville Veterans Affairs Medical Center
"Jonathan S Serody, MD",1,University of North Carolina Hospitals
"Brian Scott Cope, MD",0,Alamance Regional Medical Center
"John M Thorp, MD",0,University of North Carolina Hospitals
"Emily Ann (Evans) Evans-Hoeker, MD",2,UNC REX Healthcare
"Arthur E. Apolinario, MD",0,Sampson Regional Medical Center
"Philip Roehrs, MD",0,University of North Carolina Hospitals
"Robert John Esther, MD",2,University of North Carolina Hospitals
"Wanda K Nicholson, MD",1,University of North Carolina Hospitals
"Clayton Warren Commander, MD",1,University of North Carolina Hospitals
Scott Daniel Pope,0,University of North Carolina Hospitals
"Elysia Sophia Spencer, MD",0,University of North Carolina Hospitals
"Michael O Meyers, MD",0,UNC REX Healthcare
"Richard L. Boortz-Marx, MD",2,University of North Carolina Hospitals
"Mathew Cameron Raynor, MD",1,University of North Carolina Hospitals
"Lavinia Maria Kolarczyk, MD",0,University of North Carolina Hospitals
"Reza Rahbar, MD",1,University of North Carolina Hospitals
"George Retsch-Bogart, MD",0,University of North Carolina Hospitals
