Provider ID,Measure Name,Measure ID,Compared to National,Score
340001,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,Not Available,Not Available
340001,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,Not Available,Not Available
340001,CLABSI: Number of Device Days,HAI_1_DOPC_DAYS,Not Available,Not Available
340001,CLABSI: Predicted Cases,HAI_1_ELIGCASES,Not Available,Not Available
340001,CLABSI: Observed Cases,HAI_1_NUMERATOR,Not Available,Not Available
340001,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,Not Available,Not Available
340001,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,Not Available,Not Available
340001,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,Not Available,Not Available
340001,CAUTI: Number of Urinary Catheter Days,HAI_2_DOPC_DAYS,Not Available,Not Available
340001,CAUTI: Predicted Cases,HAI_2_ELIGCASES,Not Available,Not Available
340001,CAUTI: Observed Cases,HAI_2_NUMERATOR,Not Available,Not Available
340001,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,Not Available,Not Available
340001,SSI: Colon Lower Confidence Limit,HAI_3_CI_LOWER,No Different than National Benchmark,0.488
340001,SSI: Colon Upper Confidence Limit,HAI_3_CI_UPPER,No Different than National Benchmark,2.207
340001,"SSI: Colon, Number of Procedures",HAI_3_DOPC_DAYS,No Different than National Benchmark,241
340001,SSI: Colon Predicted Cases,HAI_3_ELIGCASES,No Different than National Benchmark,6.274
340001,SSI: Colon Observed Cases,HAI_3_NUMERATOR,No Different than National Benchmark,7
340001,Surgical Site Infection from colon surgery (SSI: Colon),HAI_3_SIR,No Different than National Benchmark,1.116
340001,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,No Different than National Benchmark,0.293
340001,SSI: Abdominal Upper Confidence Limit,HAI_4_CI_UPPER,No Different than National Benchmark,3.137
340001,"SSI: Abdominal, Number of Procedures",HAI_4_DOPC_DAYS,No Different than National Benchmark,309
340001,SSI: Abdominal Predicted Cases,HAI_4_ELIGCASES,No Different than National Benchmark,2.603
340001,SSI: Abdominal Observed Cases,HAI_4_NUMERATOR,No Different than National Benchmark,3
340001,Surgical Site Infection from abdominal hysterectomy (SSI: Hysterectomy),HAI_4_SIR,No Different than National Benchmark,1.153
340001,MRSA Lower Confidence Limit,HAI_5_CI_LOWER,No Different than National Benchmark,0.25
340001,MRSA Upper Confidence Limit,HAI_5_CI_UPPER,No Different than National Benchmark,1.894
340001,MRSA Patient Days,HAI_5_DOPC_DAYS,No Different than National Benchmark,108388
340001,MRSA Predicted Cases,HAI_5_ELIGCASES,No Different than National Benchmark,5.094
340001,MRSA Observed Cases,HAI_5_NUMERATOR,No Different than National Benchmark,4
340001,Methicillin-resistant Staphylococcus Aureus (MRSA) Blood Laboratory-identified Events (Bloodstream infections),HAI_5_SIR,No Different than National Benchmark,0.785
340001,C.diff Lower Confidence Limit,HAI_6_CI_LOWER,Better than the National Benchmark,0.506
340001,C.diff Upper Confidence Limit,HAI_6_CI_UPPER,Better than the National Benchmark,0.904
340001,C.diff Patient Days,HAI_6_DOPC_DAYS,Better than the National Benchmark,97703
340001,C.diff Predicted Cases,HAI_6_ELIGCASES,Better than the National Benchmark,67.304
340001,C.diff Observed Cases,HAI_6_NUMERATOR,Better than the National Benchmark,46
340001,Clostridium difficile (C.diff.) Laboratory-identified Events (Intestinal infections),HAI_6_SIR,Better than the National Benchmark,0.683
340002,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,Not Available,Not Available
340002,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,Not Available,Not Available
340002,CLABSI: Number of Device Days,HAI_1_DOPC_DAYS,Not Available,Not Available
340002,CLABSI: Predicted Cases,HAI_1_ELIGCASES,Not Available,Not Available
340002,CLABSI: Observed Cases,HAI_1_NUMERATOR,Not Available,Not Available
340002,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,Not Available,Not Available
340002,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,Not Available,Not Available
340002,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,Not Available,Not Available
340002,CAUTI: Number of Urinary Catheter Days,HAI_2_DOPC_DAYS,Not Available,Not Available
340002,CAUTI: Predicted Cases,HAI_2_ELIGCASES,Not Available,Not Available
