id,provider_id,measure_name,measure_id,compared_to_national,score,n_score
1,340001,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,No Different than the National Rate,2.7,0.14553473
2,340001,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT_30_AMI,No Different than the National Rate,13.8,0.103996367
3,340001,Death rate for CABG,MORT_30_CABG,No Different than the National Rate,3.5,0.195011338
4,340001,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT_30_COPD,No Different than the National Rate,8.3,0.056647876
5,340001,Heart failure (HF) 30-Day Mortality Rate,MORT_30_HF,No Different than the National Rate,13.4,0.076189388
6,340001,Pneumonia (PN) 30-Day Mortality Rate,MORT_30_PN,Worse than the National Rate,18.3,0.113510486
7,340001,Death rate for stroke patients,MORT_30_STK,No Different than the National Rate,14.6,0.095138389
8,340001,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,6.95,0.046532046
9,340001,Blood stream infection after surgery,PSI_13_POST_SEPSIS,No Different than the National Rate,5.39,0.03621416
10,340001,A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,No Different than the National Rate,1.8,0.012654545
11,340001,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,Better than the National Rate,0.6,0.003558015
12,340001,Pressure sores,PSI_3_ULCER,No Different than the National Rate,0.54,0.002697084
13,340001,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,No Different than the National Rate,124.2,0.841227892
14,340001,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,0.4,0.001824915
15,340001,Infections from a large venous catheter,PSI_7_CVCBI,No Different than the National Rate,0.08,0.000133627
16,340001,Broken hip from a fall after surgery,PSI_8_POST_HIP,No Different than the National Rate,0.06,0
17,340001,Serious complications,PSI_90_SAFETY,No Different than the National Rate,0.76,0.00541744
18,340002,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,Better than the National Rate,1.8,0.095920617
19,340002,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT_30_AMI,Better than the National Rate,10.5,0.079019074
20,340002,Death rate for CABG,MORT_30_CABG,No Different than the National Rate,2.2,0.121315193
21,340002,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT_30_COPD,No Different than the National Rate,9.5,0.064897566
22,340002,Heart failure (HF) 30-Day Mortality Rate,MORT_30_HF,No Different than the National Rate,10.6,0.060197613
