id,provider_id,payment_measure_name,payment_measure_id,payment_category,payment,n_score,value_of_care_display_name,value_of_care_display_id,value_of_care_category,,,
1,340001,Payment for heart attack patients,PAYM_30_AMI,Less than the National Average Payment,21094,0.32,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and lower payment,,,
2,340001,Payment for heart failure patients,PAYM_30_HF,Less than the National Average Payment,15338,0.62,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and lower payment,,,
4,340001,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,17613,0.71,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Worse mortality and average payment,,,
5,340002,Payment for heart attack patients,PAYM_30_AMI,Less than the National Average Payment,21250,0.35,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Better mortality and lower payment,,,
6,340002,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,16266,0.84,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
7,340002,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,22542,0.47,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Better complications and average payment,,,
8,340002,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,17495,0.69,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
10,340003,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15907,0.75,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
11,340003,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,21792,0.38,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,,,
12,340003,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,15071,0.32,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,,,
13,340004,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,21855,0.46,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
14,340004,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15396,0.64,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
15,340004,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,22982,0.52,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,,,
16,340004,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,17183,0.64,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
17,340008,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,23027,0.66,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
18,340008,Payment for heart failure patients,PAYM_30_HF,Less than the National Average Payment,12714,0.02,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and lower payment,,,
19,340008,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,19624,0.12,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and lower payment,,,
20,340008,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,15873,0.44,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
