id,Provider ID,Measure ID,Measure Name,Score,n_score,sample
,340003,EDV,Emergency department volume,20000,0.333333333,
,340013,EDV,Emergency department volume,20000,0.333333333,
,340017,EDV,Emergency department volume,20000,0.333333333,
,340020,EDV,Emergency department volume,20000,0.333333333,
,340023,EDV,Emergency department volume,20000,0.333333333,
,340024,EDV,Emergency department volume,20000,0.333333333,
,340037,EDV,Emergency department volume,20000,0.333333333,
,340041,EDV,Emergency department volume,20000,0.333333333,
,340051,EDV,Emergency department volume,20000,0.333333333,
,340060,EDV,Emergency department volume,20000,0.333333333,
,340064,EDV,Emergency department volume,20000,0.333333333,
,340068,EDV,Emergency department volume,20000,0.333333333,
,340085,EDV,Emergency department volume,20000,0.333333333,
,340087,EDV,Emergency department volume,20000,0.333333333,
,340096,EDV,Emergency department volume,20000,0.333333333,
,340097,EDV,Emergency department volume,20000,0.333333333,
,340099,EDV,Emergency department volume,20000,0.333333333,
,340107,EDV,Emergency department volume,20000,0.333333333,
,340119,EDV,Emergency department volume,20000,0.333333333,
,340120,EDV,Emergency department volume,20000,0.333333333,
,340127,EDV,Emergency department volume,20000,0.333333333,
,340129,EDV,Emergency department volume,20000,0.333333333,
,340132,EDV,Emergency department volume,20000,0.333333333,
,340144,EDV,Emergency department volume,20000,0.333333333,
,340158,EDV,Emergency department volume,20000,0.333333333,
,340159,EDV,Emergency department volume,20000,0.333333333,
,340183,EDV,Emergency department volume,20000,0.333333333,
,340184,EDV,Emergency department volume,20000,0.333333333,
,340186,EDV,Emergency department volume,20000,0.333333333,
,341324,EDV,Emergency department volume,20000,0.333333333,
,340016,EDV,Emergency department volume,0,0,
,340084,EDV,Emergency department volume,0,0,
,340106,EDV,Emergency department volume,0,0,
,340133,EDV,Emergency department volume,0,0,
,340187,EDV,Emergency department volume,0,0,
,341304,EDV,Emergency department volume,0,0,
,341318,EDV,Emergency department volume,0,0,
,341319,EDV,Emergency department volume,0,0,
,341326,EDV,Emergency department volume,0,0,
,341328,EDV,Emergency department volume,0,0,
,341329,EDV,Emergency department volume,0,0,
,340008,EDV,Emergency department volume,40000,0.666666667,
,340015,EDV,Emergency department volume,40000,0.666666667,
,340027,EDV,Emergency department volume,40000,0.666666667,
,340039,EDV,Emergency department volume,40000,0.666666667,
,340061,EDV,Emergency department volume,40000,0.666666667,
,340071,EDV,Emergency department volume,40000,0.666666667,
,340073,EDV,Emergency department volume,40000,0.666666667,
,340075,EDV,Emergency department volume,40000,0.666666667,
,340109,EDV,Emergency department volume,40000,0.666666667,
,340114,EDV,Emergency department volume,40000,0.666666667,
,340116,EDV,Emergency department volume,40000,0.666666667,
,340123,EDV,Emergency department volume,40000,0.666666667,
,340126,EDV,Emergency department volume,40000,0.666666667,
,340142,EDV,Emergency department volume,40000,0.666666667,
,340143,EDV,Emergency department volume,40000,0.666666667,
,340145,EDV,Emergency department volume,40000,0.666666667,
,340151,EDV,Emergency department volume,40000,0.666666667,
,340171,EDV,Emergency department volume,40000,0.666666667,
,340001,EDV,Emergency department volume,60000,1,
,340002,EDV,Emergency department volume,60000,1,
,340004,EDV,Emergency department volume,60000,1,
,340010,EDV,Emergency department volume,60000,1,
,340014,EDV,Emergency department volume,60000,1,
,340021,EDV,Emergency department volume,60000,1,
,340028,EDV,Emergency department volume,60000,1,
,340030,EDV,Emergency department volume,60000,1,
,340032,EDV,Emergency department volume,60000,1,
,340040,EDV,Emergency department volume,60000,1,
,340042,EDV,Emergency department volume,60000,1,
,340047,EDV,Emergency department volume,60000,1,
,340050,EDV,Emergency department volume,60000,1,
,340053,EDV,Emergency department volume,60000,1,
,340069,EDV,Emergency department volume,60000,1,
,340070,EDV,Emergency department volume,60000,1,
,340090,EDV,Emergency department volume,60000,1,
,340091,EDV,Emergency department volume,60000,1,
,340098,EDV,Emergency department volume,60000,1,
,340113,EDV,Emergency department volume,60000,1,
,340115,EDV,Emergency department volume,60000,1,
,340130,EDV,Emergency department volume,60000,1,
,340131,EDV,Emergency department volume,60000,1,
,340141,EDV,Emergency department volume,60000,1,
,340147,EDV,Emergency department volume,60000,1,
,340155,EDV,Emergency department volume,60000,1,
,340166,EDV,Emergency department volume,60000,1,
,340173,EDV,Emergency department volume,60000,1,
,340042,ED_1b,ED1,492,1,
,340028,ED_1b,ED1,464,0.909385113,
,340040,ED_1b,ED1,426,0.786407767,
,340126,ED_1b,ED1,411,0.737864078,
,340030,ED_1b,ED1,406,0.721682848,
,340147,ED_1b,ED1,404,0.715210356,
,340061,ED_1b,ED1,397,0.692556634,
,341324,ED_1b,ED1,394,0.682847896,
,340155,ED_1b,ED1,384,0.650485437,
,341315,OP_3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,384,1,
,340050,ED_1b,ED1,375,0.621359223,
,340132,ED_1b,ED1,373,0.614886731,
,340004,ED_1b,ED1,364,0.585760518,
,340073,ED_1b,ED1,358,0.566343042,
,340002,ED_1b,ED1,355,0.556634304,
,340069,ED_1b,ED1,351,0.54368932,
,340041,ED_1b,ED1,350,0.540453074,
,340131,ED_1b,ED1,350,0.540453074,
,340114,ED_1b,ED1,345,0.524271845,
,340071,ED_1b,ED1,342,0.514563107,
,340085,ED_1b,ED1,340,0.508090615,
,340008,ED_1b,ED1,338,0.501618123,
,340047,ED_1b,ED1,335,0.491909385,
,340084,ED_1b,ED1,335,0.491909385,
,340173,ED_1b,ED1,328,0.469255663,
,340091,ED_1b,ED1,318,0.436893204,
,340119,ED_1b,ED1,318,0.436893204,
,340090,ED_1b,ED1,313,0.420711974,
,341318,ED_1b,ED1,312,0.417475728,
,340032,ED_1b,ED1,310,0.411003236,
,340014,ED_1b,ED1,308,0.404530744,
,340115,ED_1b,ED1,306,0.398058252,
,340171,ED_1b,ED1,306,0.398058252,
,340113,ED_1b,ED1,304,0.391585761,
,340107,ED_1b,ED1,302,0.385113269,
,340001,ED_1b,ED1,301,0.381877023,
,340142,ED_1b,ED1,301,0.381877023,
,340184,ED_1b,ED1,300,0.378640777,
,340106,ED_1b,ED1,298,0.372168285,
,340024,ED_1b,ED1,297,0.368932039,
,341315,ED_1b,ED1,294,0.359223301,
,340109,ED_1b,ED1,293,0.355987055,
,340127,ED_1b,ED1,293,0.355987055,
,341311,ED_1b,ED1,293,0.355987055,
,340060,ED_1b,ED1,292,0.352750809,
,340130,ED_1b,ED1,291,0.349514563,
,340133,ED_1b,ED1,290,0.346278317,
,340141,ED_1b,ED1,289,0.343042071,
,340116,ED_1b,ED1,288,0.339805825,
,340166,ED_1b,ED1,287,0.336569579,
,340120,ED_1b,ED1,282,0.32038835,
,340068,ED_1b,ED1,281,0.317152104,
,340003,ED_1b,ED1,280,0.313915858,
,340017,ED_1b,ED1,278,0.307443366,
,340070,ED_1b,ED1,277,0.30420712,
,340188,ED_1b,ED1,276,0.300970874,
,340030,OP_18b,OP 18,275,1,
,340151,ED_1b,ED1,272,0.28802589,
,341328,ED_1b,ED1,272,0.28802589,
,340015,ED_1b,ED1,271,0.284789644,
,340097,ED_1b,ED1,271,0.284789644,
,340075,ED_1b,ED1,267,0.27184466,
,340144,ED_1b,ED1,267,0.27184466,
,340020,ED_1b,ED1,266,0.268608414,
,340131,OP_18b,OP 18,265,0.951219512,
,340027,ED_1b,ED1,264,0.262135922,
,340186,ED_1b,ED1,264,0.262135922,
,341326,ED_1b,ED1,263,0.258899676,
,340010,ED_1b,ED1,262,0.25566343,
,340023,ED_1b,ED1,262,0.25566343,
,340099,ED_1b,ED1,262,0.25566343,
,340158,ED_1b,ED1,262,0.25566343,
,340053,ED_1b,ED1,261,0.252427184,
,340013,ED_1b,ED1,258,0.242718447,
,340096,ED_1b,ED1,250,0.216828479,
,340061,ED_2b,ED2,249,1,
,340143,ED_1b,ED1,249,0.213592233,
,340087,ED_1b,ED1,248,0.210355987,
,340098,ED_1b,ED1,246,0.203883495,
,340039,ED_1b,ED1,243,0.194174757,
