"% Change in Base Operating DRG Payment Amount","Number of Hospitals Receiving this %Change"
"1.0% < x","157"
"0.9% < x ≤ 1.0%","50"
"0.8% < x ≤  0.9%","65"
"0.7% < x ≤  0.8%","79"
"0.6% < x ≤  0.7%","92"
"0.5% < x ≤  0.6%","103"
"0.4% < x ≤  0.5%","164"
"0.3% < x ≤  0.4%","186"
"0.2% < x ≤  0.3%","265"
"0.1% < x ≤  0.2%","294"
"0.0% < x ≤  0.1%","252"
"0.00%","0"
"-0.1% < x ≤  0.0%","291"
"-0.2% < x ≤  -0.1%","251"
"-0.3% < x ≤  -0.2%","241"
"-0.4% < x ≤  -0.3%","206"
"-0.5% < x ≤  -0.4%","136"
"-0.6% < x ≤  -0.5%","121"
"-0.7% < x ≤ -0.6%","55"
"-0.8% < x ≤ -0.7%","31"
"-0.9% < x ≤ -0.8%","18"
"-1.0% < x ≤ -0.9%","7"
"x ≤ -1.0%","7"
