PROVIDER_ID,MEASURE_ID,Hospital_Name,Hospital_Type,Address,City,State,ZIP_Code,County_Name,MEASURE_DESCRIPTION,HOSPITAL_PERFORMANCE,DENOMINATOR,FOOTNOTE,RPTG_PRD_START_DT,RPTG_PRD_END_DT
"050146","PCH-14","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","Short-term","1500 E DUARTE ROAD","DUARTE","CA","91010","LOS ANGELES","Oncology - Radiation Dose Limits to Normal Tissue","100","14","","01/01/2015","12/31/2015"
"050146","PCH-15","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","Short-term","1500 E DUARTE ROAD","DUARTE","CA","91010","LOS ANGELES","Oncology: Plan of Care for Pain","98","94","","01/01/2015","12/31/2015"
"050146","PCH-16","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","Short-term","1500 E DUARTE ROAD","DUARTE","CA","91010","LOS ANGELES","Oncology: Pain Intensity Quantified","99","500","","01/01/2015","12/31/2015"
"050146","PCH-17","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","Short-term","1500 E DUARTE ROAD","DUARTE","CA","91010","LOS ANGELES","Prostate Cancer - Adjuvant Hormonal Therapy for High-Risk Patients","97","29","","01/01/2015","12/31/2015"
"050146","PCH-18","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","Short-term","1500 E DUARTE ROAD","DUARTE","CA","91010","LOS ANGELES","Prostate Cancer - Avoidance of Overuse Measure-Bone Scan for Staging Low-Risk Patients","100","28","","01/01/2015","12/31/2015"
"050660","PCH-14","USC KENNETH NORRIS JR CANCER HOSPITAL","Short-term","1441 EASTLAKE AVE","LOS ANGELES","CA","90089","LOS ANGELES","Oncology-Radiation Dose Limits to Normal Tissue","Not Available","Not Available","1","01/01/2015","12/31/2015"
"050660","PCH-15","USC KENNETH NORRIS JR CANCER HOSPITAL","Short-term","1441 EASTLAKE AVE","LOS ANGELES","CA","90089","LOS ANGELES","Oncology: Plan of Care for Pain","83","151","","01/01/2015","12/31/2015"
"050660","PCH-16","USC KENNETH NORRIS JR CANCER HOSPITAL","Short-term","1441 EASTLAKE AVE","LOS ANGELES","CA","90089","LOS ANGELES","Oncology: Pain Intensity Quantified","87","532","","01/01/2015","12/31/2015"
"050660","PCH-17","USC KENNETH NORRIS JR CANCER HOSPITAL","Short-term","1441 EASTLAKE AVE","LOS ANGELES","CA","90089","LOS ANGELES","Prostate Cancer-Adjuvant Hormonal Therapy for High-Risk Patients","Not Available","Not Available","1","01/01/2015","12/31/2015"
"050660","PCH-18","USC KENNETH NORRIS JR CANCER HOSPITAL","Short-term","1441 EASTLAKE AVE","LOS ANGELES","CA","90089","LOS ANGELES","Prostate Cancer-Avoidance of Overuse Measure-Bone Scan for Staging Low-Risk Patients","96","26","","01/01/2015","12/31/2015"
"100079","PCH-14","UNIVERSITY OF MIAMI HOSPITAL AND CLINICS","Short-term","1475 NW 12TH AVE","MIAMI","FL","33136","DADE","Oncology-Radiation Dose Limits to Normal Tissue","Not Available","0","7","01/01/2015","12/31/2015"
"100079","PCH-15","UNIVERSITY OF MIAMI HOSPITAL AND CLINICS","Short-term","1475 NW 12TH AVE","MIAMI","FL","33136","DADE","Oncology: Plan of Care for Pain","88","100","","01/01/2015","12/31/2015"
"100079","PCH-16","UNIVERSITY OF MIAMI HOSPITAL AND CLINICS","Short-term","1475 NW 12TH AVE","MIAMI","FL","33136","DADE","Oncology: Pain Intensity Quantified","92","359","","01/01/2015","12/31/2015"
"100079","PCH-17","UNIVERSITY OF MIAMI HOSPITAL AND CLINICS","Short-term","1475 NW 12TH AVE","MIAMI","FL","33136","DADE","Prostate Cancer-Adjuvant Hormonal Therapy for High-Risk Patients","100","15","","01/01/2015","12/31/2015"
"100079","PCH-18","UNIVERSITY OF MIAMI HOSPITAL AND CLINICS","Short-term","1475 NW 12TH AVE","MIAMI","FL","33136","DADE","Prostate Cancer-Avoidance of Overuse Measure-Bone Scan for Staging Low-Risk Patients","Not Available","Not Available","1","01/01/2015","12/31/2015"
"100271","PCH-14","H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE I","Short-term","12902 MAGNOLIA DR","TAMPA","FL","33612","HILLSBOROUGH","Oncology-Radiation Dose Limits to Normal Tissue","100","105","","01/01/2015","12/31/2015"
"100271","PCH-15","H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE I","Short-term","12902 MAGNOLIA DR","TAMPA","FL","33612","HILLSBOROUGH","Oncology: Plan of Care for Pain","96","100","","01/01/2015","12/31/2015"
"100271","PCH-16","H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE I","Short-term","12902 MAGNOLIA DR","TAMPA","FL","33612","HILLSBOROUGH","Oncology: Pain Intensity Quantified","96","461","","01/01/2015","12/31/2015"
"100271","PCH-17","H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE I","Short-term","12902 MAGNOLIA DR","TAMPA","FL","33612","HILLSBOROUGH","Prostate Cancer-Adjuvant Hormonal Therapy for High-Risk Patients","100","30","","01/01/2015","12/31/2015"
"100271","PCH-18","H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE I","Short-term","12902 MAGNOLIA DR","TAMPA","FL","33612","HILLSBOROUGH","Prostate Cancer-Avoidance of Overuse Measure-Bone Scan for Staging Low-Risk Patients","96","26","","01/01/2015","12/31/2015"
"220162","PCH-14","DANA-FARBER CANCER INSTITUTE","Short-term","450 BROOKLINE AVENUE","BOSTON","MA","02115","SUFFOLK","Oncology-Radiation Dose Limits to Normal Tissue","Not Available","Not Available","1","01/01/2015","12/31/2015"
"220162","PCH-15","DANA-FARBER CANCER INSTITUTE","Short-term","450 BROOKLINE AVENUE","BOSTON","MA","02115","SUFFOLK","Oncology: Plan of Care for Pain","91","34","","01/01/2015","12/31/2015"
"220162","PCH-16","DANA-FARBER CANCER INSTITUTE","Short-term","450 BROOKLINE AVENUE","BOSTON","MA","02115","SUFFOLK","Oncology: Pain Intensity Quantified","98","199","","01/01/2015","12/31/2015"
