"State","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"AK","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"AL","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"AR","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"AS","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"AZ","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"CA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"CO","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"CT","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"DC","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"DE","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
