Provider_ID,Hospital_Name,Measure_ID,Gastrointestinal,Eye,Nervous System,Musculoskeletal,Skin,Genitourinary,Cardiovascular,Respiratory,Other,Footnote,Start_Date,End_Date
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","OP-26","683","313","429","1202","96","1704","9","9","3965","","01/01/2015","12/31/2015"
"010005","MARSHALL MEDICAL CENTER SOUTH","OP-26","4161","69","829","319","482","286","201","36","30","","01/01/2015","12/31/2015"
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","OP-26","5587","0","70","159","260","318","807","61","13","","01/01/2015","12/31/2015"
"010007","MIZELL MEMORIAL HOSPITAL","OP-26","547","150","10","75","45","71","8","0","30","","01/01/2015","12/31/2015"
"010008","CRENSHAW COMMUNITY HOSPITAL","OP-26","194","0","0","0","25","42","0","0","0","","01/01/2015","12/31/2015"
"010011","ST VINCENT'S EAST","OP-26","1602","0","351","196","113","375","2038","60","33","","01/01/2015","12/31/2015"
"010012","DEKALB REGIONAL MEDICAL CENTER","OP-26","2935","56","15","80","155","185","185","0","18","","01/01/2015","12/31/2015"
"010016","SHELBY BAPTIST MEDICAL CENTER","OP-26","2057","0","10","1067","1773","500","289","39","292","","01/01/2015","12/31/2015"
"010018","CALLAHAN EYE HOSPITAL","OP-26","0","6423","0","0","272","0","0","0","0","","01/01/2015","12/31/2015"
"010019","HELEN KELLER MEMORIAL HOSPITAL","OP-26","4427","514","103","105","33","640","102","1","11","","01/01/2015","12/31/2015"
"010021","DALE MEDICAL CENTER","OP-26","613","0","127","131","29","13","16","1","0","","01/01/2015","12/31/2015"
"010022","CHEROKEE MEDICAL CENTER","OP-26","745","163","56","2","3","55","0","0","2","","01/01/2015","12/31/2015"
"010023","BAPTIST MEDICAL CENTER SOUTH","OP-26","783","56","82","72","151","107","508","39","211","","01/01/2015","12/31/2015"
"010024","JACKSON HOSPITAL & CLINIC INC","OP-26","1865","39","119","80","73","661","1537","5","349","","01/01/2015","12/31/2015"
"010029","EAST ALABAMA MEDICAL CENTER","OP-26","10270","1624","290","1338","207","778","3128","16","67","","01/01/2015","12/31/2015"
"010032","WEDOWEE HOSPITAL","OP-26","217","0","0","0","0","0","0","0","0","","01/01/2015","12/31/2015"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","OP-26","1732","1","26","852","339","726","2390","604","391","","01/01/2015","12/31/2015"
"010034","COMMUNITY HOSPITAL INC","OP-26","1373","32","29","45","7","8","4","0","0","","01/01/2015","12/31/2015"
"010035","CULLMAN REGIONAL MEDICAL CENTER","OP-26","1907","1266","1676","770","1565","475","92","66","3","","01/01/2015","12/31/2015"
"010036","ANDALUSIA REGIONAL HOSPITAL","OP-26","1548","140","186","130","564","146","309","18","9","","01/01/2015","12/31/2015"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","OP-26","2192","145","36","224","47","76","279","25","2","","01/01/2015","12/31/2015"
"010039","HUNTSVILLE HOSPITAL","OP-26","886","0","38","282","540","231","10620","286","172","","01/01/2015","12/31/2015"
