"State","Measure Name","Measure ID","Number less than national payment","Number same as national payment","Number greater than national payment","Number of hospitals too few","Footnote","Measure start date","Measure end date"
"AK","Payment for heart attack patients","PAYM_30_AMI","0","5","0","13","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AK","Payment for heart failure patients","PAYM_30_HF","5","3","0","15","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AK","Payment for pneumonia patients","PAYM_30_PN","11","3","0","9","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AK","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","8","0","0","1","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"AL","Payment for heart attack patients","PAYM_30_AMI","4","34","1","47","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AL","Payment for heart failure patients","PAYM_30_HF","17","59","1","12","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AL","Payment for pneumonia patients","PAYM_30_PN","32","48","4","5","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AL","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","10","18","15","6","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"AR","Payment for heart attack patients","PAYM_30_AMI","3","22","1","44","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AR","Payment for heart failure patients","PAYM_30_HF","5","52","5","11","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AR","Payment for pneumonia patients","PAYM_30_PN","16","45","10","2","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AR","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","14","9","8","9","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"AS","Payment for heart attack patients","PAYM_30_AMI","0","0","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AS","Payment for heart failure patients","PAYM_30_HF","0","0","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AS","Payment for pneumonia patients","PAYM_30_PN","1","0","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AS","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","0","0","0","0","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"AZ","Payment for heart attack patients","PAYM_30_AMI","3","36","7","19","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AZ","Payment for heart failure patients","PAYM_30_HF","4","31","15","22","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AZ","Payment for pneumonia patients","PAYM_30_PN","13","37","16","8","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AZ","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","27","21","2","3","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
