"Provider ID","Hospital Name","Address","City","State","ZIP Code","County Name","Phone Number","Hospital Type","Hospital Ownership","Emergency Services","Hospital overall rating","Hospital overall rating footnote"
"01014F","BIRMINGHAM VA MEDICAL CENTER","700 SOUTH 19TH STREET","BIRMINGHAM","AL","35233","JEFFERSON","2059334515","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"01019F","VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY","215 PERRY HILL ROAD","MONTGOMERY","AL","36109","MONTGOMERY","3342604100","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"01021F","TUSCALOOSA VA MEDICAL CENTER","3701 LOOP ROAD, EAST","TUSCALOOSA","AL","35404","TUSCALOOSA","2055542000","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","No","Not Available","Star ratings are not calculated for VHA hospitals"
"03012F","PHOENIX VA MEDICAL CENTER","650 E. INDIAN SCHOOL ROAD","PHOENIX","AZ","85012","MARICOPA","6022226444","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"03013F","VA S. ARIZONA HEALTHCARE SYSTEM","3601 SOUTH SIXTH AVENUE","TUCSON","AZ","85723","PIMA","5206291821","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"03033F","VA NORTHERN ARIZONA HEALTHCARE SYSTEM","500 HIGHWAY 89 NORTH","PRESCOTT","AZ","86313","YAVAPAI","9284454860","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"04009F","FAYETTEVILLE AR VA MEDICAL CENTER","1100 N. COLLEGE AVENUE","FAYETTEVILLE","AR","72703","WASHINGTON","4794445058","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"04010F","VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR","4300 WEST SEVENTH STREET","LITTLE ROCK","AR","72205","PULASKI","5012571000","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"05025F","FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM)","2615 E. CLINTON AVENUE","FRESNO","CA","93703","FRESNO","5592285338","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"05027F","VA LONG BEACH HEALTHCARE SYSTEM","5901 E. SEVENTH STREET","LONG BEACH","CA","90822","LOS ANGELES","5628268000","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"05030F","VA N CALIFORNIA HEALTHCARE SYSTEM","10535 HOSPITAL WAY","MATHER","CA","95655","SACRAMENTO","8003828387","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"05031F","PALO ALTO VA MEDICAL CENTER","3801 MIRANDA AVENUE","PALO ALTO","CA","94304","SANTA CLARA","6508583939","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"10009F","BAY PINES VA MEDICAL CENTER","10000 BAY PINES BLVD.","BAY PINES","FL","33744","PINELLAS","7273986661","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"10015F","VA NORTH FLORIDA/SOUTH GEORGIA HEALTHCARE SYSTEM - LAKE CITY","619 SOUTH MARION AVENUE","LAKE CITY","FL","32025","COLUMBIA","3867553016","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"10057F","VA NORTH FLORIDA/SOUTH GEORGIA HEALTHCARE SYSTEM - GAINES","1601 S W ARCHER ROAD","GAINESVILLE","FL","32608","ALACHUA","3523761611","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"10063F","TAMPA VA MEDICAL CENTER","13000 BRUCE B DOWNS BLVD.","TAMPA","FL","33612","HILLSBOROUGH","8139722000","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"10064F","MIAMI VA MEDICAL CENTER","1201 N W 16TH STREET","MIAMI","FL","33125","MIAMI-DADE","3053244455","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"10065F","W PALM BEACH VA MEDICAL CENTER","7305 N. MILITARY TRAIL","WEST PALM BEACH","FL","33410","PALM BEACH","5614228600","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"11029F","DECATUR (ATLANTA) VA MEDICAL CENTER","1670 CLAIRMONT ROAD","DECATUR","GA","30033","DEKALB","4043216111","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"11030F","AUGUSTA VA MEDICAL CENTER","1 FREEDOM WAY","AUGUSTA","GA","30904","RICHMOND","7068232201","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"11031F","DUBLIN VA MEDICAL CENTER","1826 VETERANS BOULEVARD","DUBLIN","GA","31021","LAURENS","4782772701","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
