Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,AMI-7a Achievement Threshold,AMI-7a Benchmark,AMI-7a Baseline Rate,AMI-7a Performance Rate,AMI-7a Achievement Points,AMI-7a Improvement Points,AMI-7a Measure Score,AMI Condition/Procedure Score
"010033","UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","Birmingham","AL","35249","JEFFERSON","0.954545","1.000000","Not Available"," 0.000000","Not Available","Not Available","Not Available","Not Available"
"010059","LAWRENCE MEDICAL CENTER","202 HOSPITAL STREET","Moulton","AL","35650","LAWRENCE","0.954545","1.000000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010078","NORTHEAST ALABAMA REGIONAL MED CENTER","400 EAST 10TH STREET","Anniston","AL","36207","CALHOUN","0.954545","1.000000"," 0.333333"," 0.500000","Not Available","Not Available","Not Available","Not Available"
"010083","SOUTH BALDWIN REGIONAL MEDICAL CENTER","1613 NORTH MCKENZIE STREET","Foley","AL","36535","BALDWIN","0.954545","1.000000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010086","NORTHWEST MEDICAL CENTER","1530 U S HIGHWAY 43","Winfield","AL","35594","MARION","0.954545","1.000000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010103","BAPTIST MEDICAL CENTER-PRINCETON","701 PRINCETON AVENUE SOUTHWEST","Birmingham","AL","35211","JEFFERSON","0.954545","1.000000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010112","BRYAN W. WHITFIELD MEMORIAL HOSPITAL","105 HIGHWAY 80 EAST","Demopolis","AL","36732","MARENGO","0.954545","1.000000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010130","ST VINCENT'S ST CLAIR","7063 VETERANS PARKWAY","Pell City","AL","35125","SAINT CLAIR","0.954545","1.000000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010158","RUSSELLVILLE HOSPITAL","15155 HIGHWAY 43","Russellville","AL","35653","FRANKLIN","0.954545","1.000000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"030088","BANNER BAYWOOD MEDICAL CENTER","6644 EAST BAYWOOD AVENUE","Mesa","AZ","85206","MARICOPA","0.954545","1.000000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"030089","BANNER THUNDERBIRD MEDICAL CENTER","5555 WEST THUNDERBIRD ROAD","Glendale","AZ","85306","MARICOPA","0.954545","1.000000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"030120","GILBERT HOSPITAL","5656 SOUTH POWER ROAD","Gilbert","AZ","85295","MARICOPA","0.954545","1.000000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"040017","NORTH ARKANSAS REGIONAL MEDICAL CENTER","620 NORTH MAIN STREET","Harrison","AR","72601","BOONE","0.954545","1.000000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"040072","BAPTIST HEALTH MEDICAL CENTER-STUTTGART","1703 NORTH BUERKLE ST","Stuttgart","AR","72160","ARKANSAS","0.954545","1.000000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"040076","BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY","1001 SCHNEIDER DRIVE","Malvern","AR","72104","HOT SPRING","0.954545","1.000000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"040114","BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK","9601 INTERSTATE 630, EXIT 7","Little Rock","AR","72205","PULASKI","0.954545","1.000000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"040119","WHITE RIVER MEDICAL CENTER","1710 HARRISON STREET","Batesville","AR","72503","INDEPENDENCE","0.954545","1.000000"," 0.500000","Not Available","Not Available","Not Available","Not Available","Not Available"
"050009","QUEEN OF THE VALLEY MEDICAL CENTER","1000 TRANCAS ST","Napa","CA","94558","NAPA","0.954545","1.000000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"050017","MERCY GENERAL HOSPITAL","4001 J ST","Sacramento","CA","95819","SACRAMENTO","0.954545","1.000000"," 0.500000"," 0.500000","Not Available","Not Available","Not Available","Not Available"
"050028","MAD RIVER COMMUNITY HOSPITAL","3800 JANES RD","Arcata","CA","95521","HUMBOLDT","0.954545","1.000000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
