Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,Communication with Nurses Floor,Communication with Nurses Achievement Threshold,Communication with Nurses Benchmark,Communication with Nurses Baseline Rate,Communication with Nurses Performance Rate,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Floor,Communication with Doctors Achievement Threshold,Communication with Doctors Benchmark,Communication with Doctors Baseline Rate,Communication with Doctors Performance Rate,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Floor,Responsiveness of Hospital Staff Achievement Threshold,Responsiveness of Hospital Staff Benchmark,Responsiveness of Hospital Staff Baseline Rate,Responsiveness of Hospital Staff Performance Rate,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Pain Management Floor,Pain Management Achievement Threshold,Pain Management Benchmark,Pain Management Baseline Rate,Pain Management Performance Rate,Pain Management Achievement Points,Pain Management Improvement Points,Pain Management Dimension Score,Communication about Medicines Floor,Communication about Medicines Achievement Threshold,Communication about Medicines Benchmark,Communication about Medicines Baseline Rate,Communication about Medicines Performance Rate,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Floor,Cleanliness and Quietness of Hospital Environment Achievement Threshold,Cleanliness and Quietness of Hospital Environment Benchmark,Cleanliness and Quietness of Hospital Environment Baseline Rate,Cleanliness and Quietness of Hospital Environment Performance Rate,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Floor,Discharge Information Achievement Threshold,Discharge Information Benchmark,Discharge Information Baseline Rate,Discharge Information Performance Rate,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall Rating of Hospital Floor,Overall Rating of Hospital Achievement Threshold,Overall Rating of Hospital Benchmark,Overall Rating of Hospital Baseline Rate,Overall Rating of Hospital Performance Rate,Overall Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score
"450097","BAYSHORE MEDICAL CENTER","4000 SPENCER HWY","Pasadena","TX","77504","HARRIS","58.14","78.19","86.61","72.10","71.76","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","75.99","76.08","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","56.84","55.32","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","67.22","67.06","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","58.15","57.32","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","63.53","59.64","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","80.80","80.02","0 out of 10","0 out of 9","0 out of 10","35.99","70.02","84.60","61.52","61.36","0 out of 10","0 out of 9","0 out of 10","0","12"
"150023","UNION HOSPITAL INC","1606 N SEVENTH ST","Terre Haute","IN","47804","VIGO","58.14","78.19","86.61","78.84","80.51","3 out of 10","2 out of 9","3 out of 10","63.58","80.51","88.80","76.92","75.96","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","67.09","66.11","1 out of 10","0 out of 9","1 out of 10","49.53","70.28","78.33","69.39","71.02","1 out of 10","1 out of 9","1 out of 10","41.42","62.88","73.36","59.37","64.13","2 out of 10","3 out of 9","3 out of 10","44.32","65.30","79.39","70.81","69.08","3 out of 10","0 out of 9","3 out of 10","64.09","85.91","91.23","89.66","90.91","9 out of 10","7 out of 9","9 out of 10","35.99","70.02","84.60","74.99","75.16","4 out of 10","0 out of 9","4 out of 10","24","14"
"050742","OLYMPIA MEDICAL CENTER","5900 WEST OLYMPIC BOULEVARD","Los Angeles","CA","90036","LOS ANGELES","58.14","78.19","86.61","73.01","64.65","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","78.00","72.22","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","59.55","52.04","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","68.52","60.23","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","53.46","52.85","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","68.00","58.62","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","81.54","78.67","0 out of 10","0 out of 9","0 out of 10","35.99","70.02","84.60","64.76","58.25","0 out of 10","0 out of 9","0 out of 10","0","6"
"150182","FRANCISCAN HEALTH CARMEL","12188 B NORTH MERIDIAN STREET","Carmel","IN","46240","HAMILTON","58.14","78.19","86.61","Not Available","94.15","10 out of 10","Not Available","10 out of 10","63.58","80.51","88.80","Not Available","92.22","10 out of 10","Not Available","10 out of 10","37.29","65.05","80.01","Not Available","94.14","10 out of 10","Not Available","10 out of 10","49.53","70.28","78.33","Not Available","86.88","10 out of 10","Not Available","10 out of 10","41.42","62.88","73.36","Not Available","72.09","8 out of 10","Not Available","8 out of 10","44.32","65.30","79.39","Not Available","77.53","8 out of 10","Not Available","8 out of 10","64.09","85.91","91.23","Not Available","92.96","10 out of 10","Not Available","10 out of 10","35.99","70.02","84.60","Not Available","85.75","10 out of 10","Not Available","10 out of 10","76","20"
"180064","SAINT JOSEPH MOUNT STERLING","225 FALCON DRIVE","Mount Sterling","KY","40353","MONTGOMERY","58.14","78.19","86.61","81.13","81.25","4 out of 10","0 out of 9","4 out of 10","63.58","80.51","88.80","81.56","82.07","2 out of 10","0 out of 9","2 out of 10","37.29","65.05","80.01","70.28","68.01","2 out of 10","0 out of 9","2 out of 10","49.53","70.28","78.33","75.52","69.18","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","71.72","69.31","6 out of 10","0 out of 9","6 out of 10","44.32","65.30","79.39","72.14","71.56","4 out of 10","0 out of 9","4 out of 10","64.09","85.91","91.23","90.57","92.26","10 out of 10","9 out of 9","10 out of 10","35.99","70.02","84.60","75.88","70.91","1 out of 10","0 out of 9","1 out of 10","29","18"
"220029","ANNA JAQUES HOSPITAL","25 HIGHLAND AVENUE","Newburyport","MA","01950","ESSEX","58.14","78.19","86.61","82.77","85.17","8 out of 10","6 out of 9","8 out of 10","63.58","80.51","88.80","78.18","81.05","1 out of 10","2 out of 9","2 out of 10","37.29","65.05","80.01","71.39","71.71","5 out of 10","0 out of 9","5 out of 10","49.53","70.28","78.33","72.56","73.54","4 out of 10","1 out of 9","4 out of 10","41.42","62.88","73.36","63.29","65.60","3 out of 10","2 out of 9","3 out of 10","44.32","65.30","79.39","63.85","65.42","1 out of 10","1 out of 9","1 out of 10","64.09","85.91","91.23","87.29","90.49","8 out of 10","8 out of 9","8 out of 10","35.99","70.02","84.60","69.87","73.18","2 out of 10","2 out of 9","2 out of 10","33","20"
"490048","LEWISGALE MEDICAL CENTER","1900 ELECTRIC ROAD","Salem","VA","24153","SALEM CITY","58.14","78.19","86.61","74.74","74.71","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","79.16","80.19","0 out of 10","1 out of 9","1 out of 10","37.29","65.05","80.01","56.74","55.10","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","68.56","65.42","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","58.85","60.38","0 out of 10","1 out of 9","1 out of 10","44.32","65.30","79.39","58.97","56.98","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","87.70","88.12","4 out of 10","1 out of 9","4 out of 10","35.99","70.02","84.60","68.96","68.52","0 out of 10","0 out of 9","0 out of 10","6","12"
"190054","IBERIA GENERAL HOSPITAL AND MEDICAL CENTER","2315 E MAIN STREET","New Iberia","LA","70560","IBERIA","58.14","78.19","86.61","83.45","75.27","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","87.54","84.71","5 out of 10","0 out of 9","5 out of 10","37.29","65.05","80.01","70.05","61.64","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","73.96","68.08","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","60.80","57.97","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","73.56","66.76","1 out of 10","0 out of 9","1 out of 10","64.09","85.91","91.23","83.79","81.80","0 out of 10","0 out of 9","0 out of 10","35.99","70.02","84.60","66.40","59.65","0 out of 10","0 out of 9","0 out of 10","6","13"
"050078","PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO","1300 W 7TH ST","San Pedro","CA","90732","LOS ANGELES","58.14","78.19","86.61","77.03","76.19","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","80.65","79.05","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","64.90","59.19","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","71.86","69.24","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","61.56","59.38","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","64.14","64.03","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","81.87","86.26","1 out of 10","4 out of 9","4 out of 10","35.99","70.02","84.60","69.28","69.89","0 out of 10","0 out of 9","0 out of 10","4","15"
"370013","MERCY HOSPITAL OKLAHOMA CITY, INC","4300 WEST MEMORIAL ROAD","Oklahoma City","OK","73120","OKLAHOMA","58.14","78.19","86.61","75.90","75.75","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","83.75","82.98","3 out of 10","0 out of 9","3 out of 10","37.29","65.05","80.01","58.46","59.92","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","68.45","68.87","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","65.30","59.80","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","63.62","63.33","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","88.39","87.22","3 out of 10","0 out of 9","3 out of 10","35.99","70.02","84.60","72.90","73.37","3 out of 10","0 out of 9","3 out of 10","9","16"
