Provider_Number,Hospital_Name,Address,City,State,Zip_Code,County_Name,PC-01 Achievement Threshold,PC-01 Benchmark,PC-01 Baseline Rate,PC-01 Performance Rate,PC-01 Achievement Points,PC-01 Improvement Points,PC-01 Measure Score,PC-01 Preventive Condition/Procedure Score
"150026","IU HEALTH GOSHEN HOSPITAL","200 HIGH PARK AVE","Goshen","IN","46526","ELKHART","0.031250","0.000000","0.008929","0.000000","10 out of 10","9 out of 9","10 out of 10","10"
"110038","JOHN D ARCHBOLD MEMORIAL HOSPITAL","915 GORDON AVENUE & MIMOSA DRIVE","Thomasville","GA","31792","THOMAS","0.031250","0.000000","0.026549","0.011628","6 out of 10","5 out of 9","6 out of 10","6"
"190050","BEAUREGARD MEMORIAL HOSPITAL","600 S PINE STREET","Deridder","LA","70634","BEAUREGARD","0.031250","0.000000","0.376068","0.148649","0 out of 10","6 out of 9","6 out of 10","6"
"260210","ST ALEXIUS HOSPITAL","3933 S BROADWAY","Saint Louis","MO","63118","ST. LOUIS CITY","0.031250","0.000000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"450475","ETMC HENDERSON","300 WILSON STREET","Henderson","TX","75652","RUSK","0.031250","0.000000","0.166667","0.000000","10 out of 10","9 out of 9","10 out of 10","10"
"450424","HOUSTON METHODIST SAN JACINTO HOSPITAL","4401 GARTH ROAD","Baytown","TX","77521","HARRIS","0.031250","0.000000","0.042781","0.004673","8 out of 10","8 out of 9","8 out of 10","8"
"370166","WAGONER COMMUNITY HOSPITAL","1200 WEST CHEROKEE STREET","Wagoner","OK","74467","WAGONER","0.031250","0.000000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"100047","BAYFRONT HEALTH PUNTA GORDA","809 E MARION AVE","Punta Gorda","FL","33950","CHARLOTTE","0.031250","0.000000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"670043","CEDAR PARK REGIONAL MEDICAL CENTER","1401 MEDICAL PARKWAY","Cedar Park","TX","78613","WILLIAMSON","0.031250","0.000000","0.022222","0.017544","4 out of 10","2 out of 9","4 out of 10","4"
"140209","METHODIST MEDICAL CENTER OF ILLINOIS","221 N E GLEN OAK AVE","Peoria","IL","61636","PEORIA","0.031250","0.000000","0.045455","0.023256","3 out of 10","4 out of 9","4 out of 10","4"
"140288","ADVOCATE GOOD SAMARITAN HOSPITAL","3815 HIGHLAND AVENUE","Downers Grove","IL","60515","DU PAGE","0.031250","0.000000","0.010152","0.009756","7 out of 10","0 out of 9","7 out of 10","7"
"390150","WASHINGTON HEALTH SYSTEM GREENE","350 BONAR AVENUE","Waynesburg","PA","15370","GREENE","0.031250","0.000000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"030115","BANNER ESTRELLA MEDICAL CENTER","9201 WEST THOMAS ROAD","Phoenix","AZ","85037","MARICOPA","0.031250","0.000000","0.061728","0.029197","1 out of 10","5 out of 9","5 out of 10","5"
"190266","THE SPINE HOSPITAL OF LOUISIANA","10105 PARK ROW CIRCLE, SUITE 250","Baton Rouge","LA","70810","EAST BATON ROUGE","0.031250","0.000000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"390096","ST JOSEPH MEDICAL CENTER","2500 BERNVILLE ROAD","Reading","PA","19605","BERKS","0.031250","0.000000","0.020408","0.000000","10 out of 10","9 out of 9","10 out of 10","10"
"450130","NIX HEALTH CARE SYSTEM","414 NAVARRO, SUITE 600","San Antonio","TX","78205","BEXAR","0.031250","0.000000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"170200","VIA CHRISTI HOSPITAL WICHITA ST TERESA, INC","14800 WEST ST TERESA","Wichita","KS","67235","SEDGWICK","0.031250","0.000000","0.000000","Not Available","Not Available","Not Available","Not Available","Not Available"
"380103","KAISER FOUNDATION HOSPITAL - WESTSIDE","2875 NW STUCKI AVE","Hillsboro","OR","97124","WASHINGTON","0.031250","0.000000","0.000000","0.031250","1 out of 10","0 out of 9","1 out of 10","1"
"450604","HILL COUNTRY MEMORIAL HOSPITAL INC","1020 SOUTH STATE HIGHWAY 16","Fredericksburg","TX","78624","GILLESPIE","0.031250","0.000000","0.025000","0.000000","10 out of 10","9 out of 9","10 out of 10","10"
